Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
259931,Defl:X,78299,70%,2024-01-05 19:00,363d0bb2,pcd/issues/2020/20_0161.htm
227980,Defl:X,74109,68%,2024-01-05 19:00,3392b2e1,pcd/issues/2020/20_0165.htm
271609,Defl:X,80863,70%,2024-01-05 19:00,5678723b,pcd/issues/2020/20_0167.htm
223781,Defl:X,70347,69%,2024-01-05 19:00,d694b0e3,pcd/issues/2020/20_0173.htm
265151,Defl:X,80176,70%,2024-01-05 19:00,4a317db3,pcd/issues/2020/20_0183.htm
254273,Defl:X,76424,70%,2024-01-05 19:00,4f1ab6e5,pcd/issues/2020/20_0189.htm
294192,Defl:X,82756,72%,2024-01-05 19:00,6a0dcf39,pcd/issues/2020/20_0196.htm
263016,Defl:X,78033,70%,2024-01-05 19:00,045c0dd6,pcd/issues/2020/20_0201.htm
251920,Defl:X,78376,69%,2024-01-05 19:00,539c55e3,pcd/issues/2020/20_0202.htm
224411,Defl:X,72447,68%,2024-01-05 19:00,bcf584d4,pcd/issues/2020/20_0204.htm
254138,Defl:X,77290,70%,2024-01-05 19:00,d0ca1007,pcd/issues/2020/20_0205.htm
276403,Defl:X,80053,71%,2024-01-05 19:00,c848edf1,pcd/issues/2020/20_0213.htm
222280,Defl:X,71976,68%,2024-01-05 19:00,567db9c2,pcd/issues/2020/20_0214.htm
246216,Defl:X,78312,68%,2024-01-05 19:00,2faa0c5b,pcd/issues/2020/20_0220.htm
257488,Defl:X,76579,70%,2024-01-05 19:00,67ccd3c8,pcd/issues/2020/20_0228.htm
272162,Defl:X,82463,70%,2024-01-05 19:00,53d14a60,pcd/issues/2020/20_0231.htm
236793,Defl:X,75633,68%,2024-01-05 19:00,072836ac,pcd/issues/2020/20_0232.htm
212481,Defl:X,68338,68%,2024-01-05 19:00,53d75fbe,pcd/issues/2020/20_0241.htm
246689,Defl:X,77250,69%,2024-01-05 19:00,cd93ec2e,pcd/issues/2020/20_0244.htm
243947,Defl:X,77757,68%,2024-01-05 19:00,4c136ea2,pcd/issues/2020/20_0245.htm
246126,Defl:X,76097,69%,2024-01-05 19:00,4396c57c,pcd/issues/2020/20_0246.htm
249713,Defl:X,79250,68%,2024-01-05 19:00,14ab351e,pcd/issues/2020/20_0247.htm
237172,Defl:X,78406,67%,2024-01-05 19:00,faf81715,pcd/issues/2020/20_0250.htm
224363,Defl:X,71895,68%,2024-01-05 19:00,6fd98c49,pcd/issues/2020/20_0251.htm
229397,Defl:X,74332,68%,2024-01-05 19:00,8b7cd5af,pcd/issues/2020/20_0254.htm
262537,Defl:X,82202,69%,2024-01-05 19:00,08cb8ab1,pcd/issues/2020/20_0255.htm
224962,Defl:X,71699,68%,2024-01-05 19:00,87ee67b7,pcd/issues/2020/20_0256.htm
256238,Defl:X,76273,70%,2024-01-05 19:00,9e7c3190,pcd/issues/2020/20_0257.htm
234905,Defl:X,74281,68%,2024-01-05 19:00,e856519b,pcd/issues/2020/20_0261.htm
223243,Defl:X,70144,69%,2024-01-05 19:00,1714e34d,pcd/issues/2020/20_0262.htm
244168,Defl:X,75502,69%,2024-01-05 19:00,ea3ce310,pcd/issues/2020/20_0263.htm
237848,Defl:X,74289,69%,2024-01-05 19:00,7e863413,pcd/issues/2020/20_0264.htm
217163,Defl:X,70076,68%,2024-01-05 19:00,6a66070a,pcd/issues/2020/20_0265.htm
254005,Defl:X,79292,69%,2024-01-05 19:00,298958a4,pcd/issues/2020/20_0266.htm
189194,Defl:X,61898,67%,2024-01-05 19:00,b364a3f8,pcd/issues/2020/20_0266e.htm
225564,Defl:X,72797,68%,2024-01-05 19:00,622ef018,pcd/issues/2020/20_0269.htm
260803,Defl:X,79330,70%,2024-01-05 19:00,bfb11bc6,pcd/issues/2020/20_0277.htm
215997,Defl:X,68937,68%,2024-01-05 19:00,e549dcde,pcd/issues/2020/20_0300.htm
239137,Defl:X,74496,69%,2024-01-05 19:00,9ed0d333,pcd/issues/2020/20_0317.htm
